Date,Adj Close,Close,High,Low,Open,Volume,SMA20,EMA20,RSI,MACD,BB_High,BB_Low,Target
2025-06-04,202.0185546875,202.82000732421875,206.24000549316406,202.10000610351562,202.91000366210938,43604000,203.7305000305176,203.16597777205232,48.44417695214729,-1.2736536125940745,214.8024265787156,192.65857348231958,0
2025-06-05,199.8372039794922,200.6300048828125,204.75,200.14999389648438,203.5,55126100,203.9495002746582,202.92445654450566,45.454745777938555,-1.3262093503346648,214.58560627976323,193.31339426955316,1
2025-06-06,203.11419677734375,203.9199981689453,205.6999969482422,202.0500030517578,203.0,46607700,204.27099990844727,203.01927003254752,50.40595838451862,-1.0898223943962364,214.48708831850638,194.05491149838815,0
2025-06-09,200.65396118164062,201.4499969482422,206.0,200.02000427246094,204.38999938964844,72862600,204.41699981689453,202.86981545308987,46.959560105073756,-1.0892364448777982,214.3810848855997,194.45291474818936,1
2025-06-10,201.86912536621094,202.6699981689453,204.35000610351562,200.57000732421875,200.60000610351562,54672600,204.01100006103516,202.85078523555228,48.82089308345196,-0.9790423819810314,213.55621047512025,194.46578964695007,0
2025-06-11,197.9945068359375,198.77999877929688,204.5,198.41000366210938,203.5,60989900,203.30350036621093,202.46309128733748,43.57059029748643,-1.1918641657007356,212.17321330440586,194.433787428016,1
2025-06-12,198.41285705566406,199.1999969482422,199.67999267578125,197.36000061035156,199.0800018310547,43904600,202.64700012207032,202.15232039789984,44.26748920906906,-1.311518254389199,210.64825250185726,194.6457477422834,0
2025-06-13,195.67372131347656,196.4499969482422,200.3699951171875,195.6999969482422,199.72999572753906,51447300,201.89700012207032,201.6092419741229,40.72134514722586,-1.6096914776705944,209.2422066329871,194.55179361115356,1
2025-06-16,197.63592529296875,198.4199981689453,198.69000244140625,196.55999755859375,197.3000030517578,43020700,201.25500030517577,201.3055044688679,44.17155492521316,-1.6678078204398616,207.35321146706735,195.1567891432842,0
2025-06-17,194.86692810058594,195.63999938964844,198.38999938964844,195.2100067138672,197.1999969482422,38856200,200.59800033569337,200.76593255656127,40.58197875039326,-1.9161004950840095,206.11543725736166,195.08056341402508,1
2025-06-18,195.80320739746094,196.5800018310547,197.57000732421875,195.07000732421875,195.94000244140625,45394700,200.08400039672853,200.3672724874654,42.28972251641125,-2.0138099400624583,205.06111395221996,195.1068868412371,1
2025-06-20,200.20574951171875,201.0,201.6999969482422,196.86000061035156,198.24000549316406,96813500,200.02950057983398,200.42753225056396,49.62176927947884,-1.714821076468013,204.94099582421092,195.11800533545704,1
2025-06-23,200.70376586914062,201.5,202.3000030517578,198.9600067138672,201.6300048828125,55814300,200.0365005493164,200.52967203622453,50.38962073028371,-1.4211423818972548,204.95595348434347,195.11704761428933,0
2025-06-24,199.5084991455078,200.3000030517578,203.44000244140625,200.1999969482422,202.58999633789062,54064000,200.28800048828126,200.50779879960865,48.479811274561015,-1.2705831340802263,204.6945862034413,195.8814147731212,1
2025-06-25,200.76351928710938,201.55999755859375,203.6699981689453,200.6199951171875,201.4499969482422,39525700,200.3555000305176,200.60800820522627,50.597074295487346,-1.0376316472500093,204.79646294590557,195.9145371151296,0
2025-06-26,200.20574951171875,201.0,202.63999938964844,199.4600067138672,201.42999267578125,50799100,200.3845001220703,200.6453407571095,49.621039301789075,-0.8879671064332513,204.83433513415463,195.93466510998599,1
2025-06-27,200.28543090820312,201.0800018310547,203.22000122070312,200.0,201.88999938964844,73188600,200.44100036621094,200.68673704986617,49.77011287542503,-0.7542073673452876,204.89602544450696,195.98597528791493,1
2025-06-30,204.3592529296875,205.1699981689453,207.38999938964844,199.25999450683594,202.00999450683594,91912800,200.65699996948243,201.11371429930227,56.806887403423005,-0.31454738107888147,205.5661599830506,195.74783995591426,1
2025-07-01,206.998779296875,207.82000732421875,210.19000244140625,206.13999938964844,206.6699981689453,78788900,200.96300048828124,201.75240887310383,60.653082312811755,0.24489689839469975,206.77415124368736,195.15184973287512,1
2025-07-02,211.60052490234375,212.44000244140625,213.33999633789062,208.13999938964844,208.91000366210938,67941800,201.4215003967285,202.77027492722786,66.28902898395879,1.048963714756269,209.05094637348435,193.79205441997266,1
2025-07-03,212.70616149902344,213.5500030517578,214.64999389648438,211.80999755859375,212.14999389648438,34955800,201.95800018310547,203.79691570099263,67.49375782990677,1.755523648460695,211.2362580386767,192.67974232753423,0
2025-07-07,209.12037658691406,209.9499969482422,216.22999572753906,208.8000030517578,212.67999267578125,50229000,202.42399978637695,204.3829234388259,60.004073952626754,2.0019103045189013,212.3052514514619,192.542748121292,1
2025-07-08,209.18014526367188,210.00999450683594,211.42999267578125,208.4499969482422,210.10000610351562,42848900,202.72849960327147,204.91883496911257,60.08357384742931,2.17692062029829,213.13667498911246,192.32032421743048,1
2025-07-09,210.3056640625,211.13999938964844,211.3300018310547,207.22000122070312,209.52999877929688,48749400,203.2129997253418,205.51132681868742,61.6304958239286,2.3793715920272973,214.22276381512785,192.20323563555576,1
2025-07-10,211.57064819335938,212.41000366210938,213.47999572753906,210.02999877929688,210.50999450683594,44443600,203.7,206.16834366091808,63.349610691257745,2.612182562073656,215.41000573813727,191.9899942618627,0
2025-07-11,210.32559204101562,211.16000366210938,212.1300048828125,209.86000061035156,210.57000732421875,39765800,204.31900024414062,206.64373985150772,60.47749444413962,2.6651007572715173,216.23036614833552,192.40763433994573,0
2025-07-14,207.79562377929688,208.6199951171875,210.91000366210938,207.5399932861328,209.92999267578125,38840100,204.79000015258788,206.8319546387153,55.01891159654509,2.473567598845648,216.5989859887848,192.98101431639097,1
2025-07-15,208.28370666503906,209.11000061035156,211.88999938964844,208.9199981689453,209.22000122070312,42296300,205.42300033569336,207.04891139791874,55.84685044070109,2.3344059602305265,216.72214807583597,194.12385259555074,1
2025-07-16,209.3295440673828,210.16000366210938,212.39999389648438,208.63999938964844,210.3000030517578,47490500,206.01000061035157,207.34520589927024,57.64587983516862,2.2825341966668304,217.0087230178485,195.01127820285464,0
2025-07-17,209.1901092529297,210.02000427246094,211.8000030517578,209.58999633789062,210.57000732421875,48068100,206.7290008544922,207.59994860147887,57.310581305560895,2.2047140978723974,216.75958857423362,196.69841313475078,1
2025-07-18,210.34552001953125,211.17999267578125,211.7899932861328,209.6999969482422,210.8699951171875,48974600,207.45900039672853,207.94090517998387,59.41688479062778,2.2111536754593146,216.50570820011515,198.4122925933419,1
2025-07-21,211.64036560058594,212.47999572753906,215.77999877929688,211.6300048828125,212.10000610351562,51377400,208.03300018310546,208.37319951784627,61.697753860047754,2.2947045432193818,216.82068250885155,199.24531785735937,1
2025-07-22,213.55279541015625,214.39999389648438,214.9499969482422,212.22999572753906,213.13999938964844,46404100,208.6779998779297,208.94717993485943,64.84069589629586,2.4871763927681343,217.34581192848128,200.0101878273781,0
2025-07-23,213.30377197265625,214.14999389648438,215.14999389648438,212.41000366210938,215.0,46989300,209.37049942016603,209.44268602644277,64.10310579806509,2.589686515431481,217.4428671535915,201.29813168674056,0
2025-07-24,212.91531372070312,213.75999450683594,215.69000244140625,213.52999877929688,213.89999389648438,46022600,209.98049926757812,209.85385826267068,62.90102479513007,2.6093775546353015,217.41874281868164,202.5422557164746,1
2025-07-25,213.03485107421875,213.8800048828125,215.24000549316406,213.39999389648438,214.6999969482422,40268800,210.62449951171874,210.23730079792227,63.13014618246081,2.6046419879397433,216.9947332011037,204.25426582233376,1
2025-07-28,213.2041778564453,214.0500030517578,214.85000610351562,213.05999755859375,214.02999877929688,37858000,211.27299957275392,210.60041529828757,63.47426844586136,2.5848103638298596,216.0714363646737,206.47456278083413,0
2025-07-29,210.43516540527344,211.27000427246094,214.80999755859375,210.82000732421875,214.17999267578125,51411700,211.5779998779297,210.66418567678028,54.51376204986181,2.3180499538416655,215.47717562016126,207.67882413569814,0
2025-07-30,208.2239227294922,209.0500030517578,212.38999938964844,207.72000122070312,211.89999389648438,45512500,211.63949966430664,210.5104539982067,48.61212196583623,1.905538994463285,215.33302028260394,207.94597904600934,0
2025-07-31,206.74978637695312,207.57000732421875,209.83999633789062,207.16000366210938,208.49000549316406,80698400,211.39599990844727,210.2304114578269,45.10625622588484,1.4425687660359472,215.46894953683093,207.3230502800636,0
2025-08-01,201.58030700683594,202.3800048828125,213.5800018310547,201.5,210.8699951171875,104434500,210.8375,209.4827536887779,35.45087467671749,0.6493859847224712,216.37563302806856,205.29936697193145,1
2025-08-04,202.5464630126953,203.35000610351562,207.8800048828125,201.67999267578125,204.50999450683594,75109300,210.50750045776368,208.8986824901815,38.117075684054704,0.09792508836801517,216.9332532760474,204.08174763947997,0
2025-08-05,202.11813354492188,202.9199981689453,205.33999633789062,202.16000366210938,203.39999389648438,44155100,210.15300064086915,208.3292839833971,37.37996902357418,-0.36954975214172237,217.38156582099245,202.92443546074585,1
2025-08-06,212.40733337402344,213.25,215.3800048828125,205.58999633789062,205.6300048828125,108483100,210.2585006713867,208.79792360402593,58.26130367791352,0.0924521542341381,217.60227907474334,202.9147222680301,1
2025-08-07,219.16053771972656,220.02999877929688,220.85000610351562,216.5800018310547,218.8800048828125,90224800,210.6395004272461,209.86764504928982,66.22261934738127,0.9942204774727088,219.0965140852999,202.1824867691923,1
